station,line,is_interchange,order
Gombak,Kelana Jaya Line,No,1
Taman Melati,Kelana Jaya Line,No,2
Wangsa Maju,Kelana Jaya Line,No,3
Sri Rampai,Kelana Jaya Line,No,4
Setiawangsa,Kelana Jaya Line,No,5
Jelatek,Kelana Jaya Line,No,6
Dato Keramat,Kelana Jaya Line,No,7
Damai,Kelana Jaya Line,No,8
Ampang Park,Kelana Jaya Line,Yes,9
KLCC,Kelana Jaya Line,No,10
Kampung Baru,Kelana Jaya Line,No,11
Dang Wangi,Kelana Jaya Line,No,12
Masjid Jamek,Kelana Jaya Line,Yes,13
Pasar Seni,Kelana Jaya Line,Yes,14
KL Sentral,Kelana Jaya Line,Yes,15
Bangsar,Kelana Jaya Line,No,16
Abdullah Hukum,Kelana Jaya Line,Yes,17
Kerinchi,Kelana Jaya Line,No,18
Universiti,Kelana Jaya Line,No,19
Taman Jaya,Kelana Jaya Line,No,20
Asia Jaya,Kelana Jaya Line,No,21
Taman Paramount,Kelana Jaya Line,No,22
Taman Bahagia,Kelana Jaya Line,No,23
Kelana Jaya,Kelana Jaya Line,No,24
Ara Damansara,Kelana Jaya Line,No,25
Glenmarie,Kelana Jaya Line,Yes,26
Subang Jaya,Kelana Jaya Line,Yes,27
SS15,Kelana Jaya Line,No,28
SS18,Kelana Jaya Line,No,29
USJ 7,Kelana Jaya Line,Yes,30
Taipan,Kelana Jaya Line,No,31
Wawasan,Kelana Jaya Line,No,32
USJ 21,Kelana Jaya Line,No,33
Alam Megah,Kelana Jaya Line,No,34
Subang Alam,Kelana Jaya Line,No,35
Putra Heights,Kelana Jaya Line,Yes,36
Kwasa Damansara,MRT Kajang Line,Yes,1
Kwasa Sentral,MRT Kajang Line,No,2
Kota Damansara,MRT Kajang Line,No,3
Surian,MRT Kajang Line,No,4
Mutiara Damansara,MRT Kajang Line,No,5
Bandar Utama,MRT Kajang Line,Yes,6
Taman Tun Dr Ismail,MRT Kajang Line,No,7
Phileo Damansara,MRT Kajang Line,No,8
Pusat Bandar Damansara,MRT Kajang Line,No,9
Semantan,MRT Kajang Line,No,10
Muzium Negara,MRT Kajang Line,Yes,11
Pasar Seni,MRT Kajang Line,Yes,12
Merdeka,MRT Kajang Line,Yes,13
Bukit Bintang,MRT Kajang Line,Yes,14
Tun Razak Exchange,MRT Kajang Line,Yes,15
Cochrane,MRT Kajang Line,No,16
Maluri,MRT Kajang Line,Yes,17
Taman Pertama,MRT Kajang Line,No,18
